id,first_review,last_review,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
51945948,2021-09-19,2022-02-26,2,0,0,5,5,5,5,5,5,5,0
52010157,2021-10-02,2023-05-25,160,98,7,5,5,5,5,5,5,5,8
52041714,2021-09-22,2023-05-27,44,30,2,5,5,5,5,5,4,5,2
52059165,2021-09-05,2022-09-06,46,14,0,5,5,5,5,5,5,5,2
52065795,2021-09-12,2023-06-05,31,21,3,5,5,5,5,5,5,5,1
52134047,2021-10-03,2023-06-04,156,95,3,5,5,5,5,5,5,5,8
52135312,2021-09-27,2023-04-25,67,29,0,5,5,5,5,5,5,5,3
52187154,2021-10-12,2022-02-22,4,0,0,5,5,5,5,5,5,5,0
52240447,2021-09-26,2023-06-03,12,8,1,5,5,5,5,5,5,5,1
52242258,2021-12-25,2023-04-09,19,11,0,4,5,5,5,4,5,4,1
52303305,2021-10-06,2023-03-19,22,12,0,5,5,5,5,5,5,5,1
52306823,2021-09-24,2023-06-09,23,18,3,5,5,4,5,5,5,5,1
52335736,2021-10-04,2023-04-03,27,23,0,5,5,5,5,5,5,5,1
52339048,2021-09-27,2022-04-08,13,0,0,4,4,5,5,4,5,5,1
52366538,2021-12-20,2023-05-05,26,15,0,5,5,5,5,5,5,5,1
52370553,2021-09-23,2023-05-28,15,7,3,5,5,5,5,5,5,5,1
52406856,2021-11-01,2023-05-24,35,17,2,5,5,5,5,5,5,5,2
52443652,2021-10-21,2023-05-23,28,20,2,5,5,5,5,5,5,5,1
52459300,2023-05-15,2023-06-01,2,2,2,5,5,5,5,5,5,5,2
52477462,2021-10-18,2023-05-09,29,14,0,5,5,5,5,5,5,5,1
52491677,2021-11-15,2023-02-13,19,10,0,5,5,5,5,5,5,5,1
52498011,2021-10-08,2023-05-03,33,26,0,4,4,4,5,5,5,4,2
52526101,2021-12-22,2023-05-22,75,49,2,5,5,5,5,5,5,5,4
52529977,2021-11-12,2023-05-28,52,37,4,5,5,5,5,5,5,5,3
52556625,2021-11-06,2023-06-10,241,147,15,5,5,5,5,5,5,5,12
52564500,2022-01-08,2023-01-05,3,2,0,5,5,5,5,5,5,5,0
52564734,2021-10-06,2023-06-04,34,22,3,5,5,5,5,5,5,5,2
52568371,2022-10-16,2023-04-30,57,57,0,5,5,5,5,5,5,5,7
52582997,2021-10-27,2023-05-24,30,20,1,5,5,5,5,5,5,5,2
52599469,2021-10-13,2023-05-30,26,17,3,5,5,5,5,5,5,5,1
52619925,2022-05-12,2023-06-01,6,5,1,5,5,5,5,5,5,5,0
52620969,2021-10-09,2023-01-15,23,11,0,5,5,5,5,5,5,5,1
52621127,2021-12-04,2023-06-01,4,1,1,5,5,5,5,5,5,5,0
52668091,2021-10-16,2023-06-04,39,18,2,5,5,5,5,5,5,5,2
52669156,2021-10-27,2022-01-13,10,0,0,5,5,5,5,5,5,4,1
52676673,2022-01-02,2023-06-02,41,33,3,5,5,5,5,5,5,5,2
52687551,2021-10-19,2023-05-28,36,18,4,5,5,5,5,5,5,5,2
52688008,2021-10-15,2022-10-03,7,4,0,5,5,5,5,5,5,5,0
52712583,2021-11-08,2023-05-14,14,12,1,5,5,5,5,5,4,5,1
52712755,2022-09-05,2023-06-10,17,17,3,5,5,5,5,5,4,5,2
52757617,2021-12-28,2023-06-04,10,8,3,5,5,5,5,5,5,5,1
52770885,2021-10-19,2023-06-01,38,18,3,5,5,5,5,5,5,5,2
52843284,2021-12-05,2023-05-26,56,34,2,5,5,5,5,5,5,5,3
52845432,2022-04-23,2022-04-23,1,0,0,5,5,5,5,5,5,5,0
52862738,2021-10-25,2022-10-24,16,6,0,5,5,5,5,5,5,5,1
52862984,2021-10-22,2022-09-01,12,6,0,5,5,4,5,5,4,5,1
52863244,2021-12-12,2023-06-04,8,2,1,5,5,5,5,5,5,5,0
52873113,2021-12-27,2023-03-13,4,2,0,5,5,5,5,5,5,5,0
52876789,2021-10-24,2023-03-30,16,8,0,5,5,5,5,5,5,5,1
52898954,2021-12-19,2023-05-27,32,21,3,5,5,5,5,5,5,5,2
52917053,2022-02-05,2023-03-12,20,10,0,5,5,5,5,5,5,5,1
52917154,2022-06-18,2023-05-31,11,11,2,5,5,5,5,5,5,5,1
52925332,2021-11-07,2023-05-16,40,24,1,5,5,5,5,5,5,5,2
52952194,2022-01-10,2023-05-30,173,126,6,5,5,5,5,5,5,5,10
52956818,2023-01-02,2023-06-09,16,16,4,5,5,5,5,5,5,5,3
52970362,2021-12-18,2023-05-21,15,9,1,5,5,5,5,5,4,5,1
52972063,2021-11-12,2023-05-26,110,64,3,5,5,5,5,5,5,5,6
52987645,2022-01-03,2023-05-01,5,3,0,5,5,5,5,5,5,5,0
52990541,2022-01-03,2023-01-05,6,4,0,5,5,5,5,5,5,4,0
53012750,2021-11-18,2023-05-26,139,102,3,5,5,5,5,5,5,5,7
53034809,2022-05-08,2023-05-22,41,38,2,5,5,5,5,5,5,5,3
53043082,2021-12-19,2023-06-04,37,26,3,5,5,5,5,5,5,5,2
53066314,2021-11-07,2023-05-28,39,22,2,5,5,5,5,5,5,5,2
53088169,2022-03-30,2022-07-31,6,2,0,5,5,5,5,5,5,5,0
53089140,2021-12-12,2023-01-28,7,3,0,4,4,4,5,4,5,4,0
53114286,2021-12-06,2023-05-28,76,40,4,5,5,5,5,5,5,5,4
53149271,2021-12-05,2023-05-21,41,27,2,5,5,5,5,5,5,5,2
53164981,2021-11-15,2023-05-20,13,7,2,5,5,5,5,5,5,5,1
53165790,2023-03-21,2023-03-21,1,1,0,5,5,5,5,5,5,5,0
